# BUSCO version is: 5.4.3 
# The lineage dataset is: actinopterygii_odb10 (Creation date: 2020-08-05, number of genomes: 3640, number of BUSCOs: 26)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
64at7898	Complete	LUTQUINCHR7	11353508	11459171	+	8822.3	4889	https://www.orthodb.org/v10?query=64at7898	hemicentin-1
116at7898	Complete	LUTQUINCHR6	32255760	32369305	+	5174.7	3625
131at7898	Complete	LUTQUINCHR10	15146594	15195967	-	8518.0	4328	https://www.orthodb.org/v10?query=131at7898	E3 ubiquitin-protein ligase UBR4 isoform X1
171at7898	Complete	LUTQUINCHR15	24408218	24439384	+	8797.2	4148
180at7898	Complete	LUTQUINCHR1	30379726	30624146	-	7207.8	4517	https://www.orthodb.org/v10?query=180at7898	usherin
301at7898	Complete	LUTQUINCHR4	31547722	31569331	+	8304.6	4034	https://www.orthodb.org/v10?query=301at7898	sacsin isoform X1
394at7898	Complete	LUTQUINCHR5	37562176	37957305	+	5889.7	3299	https://www.orthodb.org/v10?query=394at7898	vacuolar protein sorting-associated protein 13B-like
408at7898	Complete	LUTQUINCHR20	11634780	11730781	-	7181.0	3508	https://www.orthodb.org/v10?query=408at7898	transformation/transcription domain-associated protein
423at7898	Complete	LUTQUINCHR4	38124567	38291112	+	6868.5	3744	https://www.orthodb.org/v10?query=423at7898	cytoplasmic dynein 2 heavy chain 1
433at7898	Complete	LUTQUINCHR10	13656642	13795353	+	4791.1	2348	https://www.orthodb.org/v10?query=433at7898	cadherin EGF LAG seven-pass G-type receptor 3 isoform X1
594at7898	Complete	LUTQUINCHR3	16063873	16104177	-	4599.2	2774	https://www.orthodb.org/v10?query=594at7898	protocadherin-23
707at7898	Complete	LUTQUINCHR6	7484635	7525074	-	3832.3	2743	https://www.orthodb.org/v10?query=707at7898	obscurin-like isoform X1
715at7898	Complete	LUTQUINCHR15	6627593	6655239	-	5355.5	3589	https://www.orthodb.org/v10?query=715at7898	apolipoprotein B-100
716at7898	Complete	LUTQUINCHR4	19864292	20002426	+	4977.5	2462	https://www.orthodb.org/v10?query=716at7898	teneurin-4 isoform X1
832at7898	Complete	LUTQUINCHR3	38515213	38555872	-	4690.6	2614	https://www.orthodb.org/v10?query=832at7898	huntingtin isoform X1
892at7898	Complete	LUTQUINCHR24	12443853	12501454	+	5286.9	2612	https://www.orthodb.org/v10?query=892at7898	protein unc-80 homolog
1123at7898	Duplicated	LUTQUINCHR22	505096	548350	-	3643.6	2345	https://www.orthodb.org/v10?query=1123at7898	filamin-B
1123at7898	Duplicated	LUTQUINCHR2	41253847	41337985	+	4166.9	2269	https://www.orthodb.org/v10?query=1123at7898	filamin-B
1144at7898	Complete	LUTQUINCHR10	10615346	10714811	+	4690.3	2237	https://www.orthodb.org/v10?query=1144at7898	serine/threonine-protein kinase mTOR
1155at7898	Complete	LUTQUINCHR7	25796639	25849553	+	3161.5	2011	https://www.orthodb.org/v10?query=1155at7898	neurogenic locus notch homolog protein 2-like
1213at7898	Complete	LUTQUINCHR15	30504420	30524947	-	3873.5	2096
1220at7898	Complete	LUTQUINCHR4	17347351	17364668	+	1865.5	2057	https://www.orthodb.org/v10?query=1220at7898	breast cancer type 2 susceptibility protein
1258at7898	Complete	LUTQUINCHR19	11880933	11906605	+	3624.7	2110	https://www.orthodb.org/v10?query=1258at7898	neurogenic locus notch homolog protein 2-like
1262at7898	Complete	LUTQUINCHR4	41318216	41335571	-	5441.4	2286	https://www.orthodb.org/v10?query=1262at7898	pre-mRNA-processing-splicing factor 8
1312at7898	Complete	LUTQUINCHR18	26988707	27032443	-	3294.6	1922	https://www.orthodb.org/v10?query=1312at7898	Protein tyrosine phosphatase, non-receptor type 13
1329at7898	Complete	LUTQUINCHR9	29389555	29425803	-	3710.5	2121	https://www.orthodb.org/v10?query=1329at7898	ectopic P granules protein 5 homolog
1401at7898	Complete	LUTQUINCHR9	35561745	35591009	-	4374.7	2326	https://www.orthodb.org/v10?query=1401at7898	eIF-2-alpha kinase activator GCN1
1502at7898	Complete	LUTQUINCHR15	38926842	38950970	-	4314.2	2168	https://www.orthodb.org/v10?query=1502at7898	E3 ubiquitin-protein ligase HECTD1 isoform X1
1539at7898	Complete	LUTQUINCHR11	9662831	9692900	+	3720.6	1827	https://www.orthodb.org/v10?query=1539at7898	alpha-tectorin
1607at7898	Complete	LUTQUINCHR12	4639190	4681922	-	3203.1	1938	https://www.orthodb.org/v10?query=1607at7898	chondroitin sulfate proteoglycan 4
1664at7898	Complete	LUTQUINCHR17	26216390	26231211	+	3488.6	2074	https://www.orthodb.org/v10?query=1664at7898	zinc finger protein 40 isoform X1
1667at7898	Complete	LUTQUINCHR23	14290390	14392610	-	3411.3	1814	https://www.orthodb.org/v10?query=1667at7898	dysferlin isoform X1
1697at7898	Complete	LUTQUINCHR9	8672556	8694311	-	3932.0	1905	https://www.orthodb.org/v10?query=1697at7898	DNA polymerase epsilon catalytic subunit A
1709at7898	Complete	LUTQUINCHR7	42566090	42592684	-	3422.8	1932	https://www.orthodb.org/v10?query=1709at7898	adenomatous polyposis coli protein 2
1867at7898	Complete	LUTQUINCHR14	21366933	21586480	-	3715.6	2021	https://www.orthodb.org/v10?query=1867at7898	neuroblastoma-amplified sequence
1955at7898	Complete	LUTQUINCHR16	34205770	34272797	-	3304.2	1820	https://www.orthodb.org/v10?query=1955at7898	brefeldin A-inhibited guanine nucleotide-exchange protein 3
2212at7898	Complete	LUTQUINCHR12	21360045	21386250	-	3468.7	2436	https://www.orthodb.org/v10?query=2212at7898	von Willebrand factor
2355at7898	Complete	LUTQUINCHR4	7154022	7213272	+	3422.8	1829	https://www.orthodb.org/v10?query=2355at7898	dedicator of cytokinesis protein 10
2390at7898	Complete	LUTQUINCHR9	1673225	1731241	+	2852.1	1667	https://www.orthodb.org/v10?query=2390at7898	calcineurin-binding protein cabin-1 isoform X1
2421at7898	Complete	LUTQUINCHR6	24466244	24490502	-	3262.8	1889	https://www.orthodb.org/v10?query=2421at7898	Dopey family member 2
2494at7898	Complete	LUTQUINCHR21	16818540	16866872	-	2627.9	1764	https://www.orthodb.org/v10?query=2494at7898	rotatin
2517at7898	Complete	LUTQUINCHR6	3548607	3579019	-	2184.7	1287	https://www.orthodb.org/v10?query=2517at7898	coagulation factor V
2564at7898	Complete	LUTQUINCHR4	18432304	18453939	+	2820.7	1824	https://www.orthodb.org/v10?query=2564at7898	nucleolar pre-ribosomal-associated protein 1
2589at7898	Complete	LUTQUINCHR16	27312273	27360627	+	2970.7	1596	https://www.orthodb.org/v10?query=2589at7898	anaphase-promoting complex subunit 1
2616at7898	Complete	LUTQUINCHR4	14875719	14902258	+	3669.5	1854	https://www.orthodb.org/v10?query=2616at7898	protein KIAA0100 homolog isoform X1
2652at7898	Complete	LUTQUINCHR16	11497340	11526689	-	3333.7	1648	https://www.orthodb.org/v10?query=2652at7898	HEAT repeat-containing protein 5B
2721at7898	Complete	LUTQUINCHR21	14430385	14439854	+	1654.1	1370	https://www.orthodb.org/v10?query=2721at7898	Upstream transcription factor family member 3
2731at7898	Complete	LUTQUINCHR9	20778204	20813849	-	3666.3	2097	https://www.orthodb.org/v10?query=2731at7898	chondroitin sulfate proteoglycan 4-like
2748at7898	Complete	LUTQUINCHR14	33550785	33557183	-	1947.4	1454	https://www.orthodb.org/v10?query=2748at7898	tudor domain-containing protein 15
2763at7898	Complete	LUTQUINCHR12	31764505	31780517	+	3397.1	1770	https://www.orthodb.org/v10?query=2763at7898	nuclear pore complex protein Nup205
2857at7898	Complete	LUTQUINCHR10	17546734	17601048	-	2938.2	1590	https://www.orthodb.org/v10?query=2857at7898	zinc finger protein castor homolog 1 isoform X1
2862at7898	Complete	LUTQUINCHR5	28824756	28833191	-	1608.9	1515
3036at7898	Complete	LUTQUINCHR10	28124442	28240941	+	2871.0	1563	https://www.orthodb.org/v10?query=3036at7898	plexin-D1
3037at7898	Complete	LUTQUINCHR1	7529863	7686548	-	3029.1	1690	https://www.orthodb.org/v10?query=3037at7898	low-density lipoprotein receptor-related protein 4
3098at7898	Duplicated	LUTQUINCHR13	28805411	28835377	-	1732.7	1186
3098at7898	Duplicated	LUTQUINCHR21	7187599	7245770	-	1955.2	1222
3133at7898	Complete	LUTQUINCHR14	37137362	37187307	+	2661.3	1551	https://www.orthodb.org/v10?query=3133at7898	Intraflagellar transport 172
3278at7898	Complete	LUTQUINCHR23	22011197	22079367	+	3284.8	1547
3359at7898	Complete	LUTQUINCHR9	27518516	27542166	+	3251.6	1975	https://www.orthodb.org/v10?query=3359at7898	kinetochore-associated protein 1
3551at7898	Complete	LUTQUINCHR6	20650661	20738278	+	2833.6	1473	https://www.orthodb.org/v10?query=3551at7898	sodium leak channel non-selective protein
3552at7898	Complete	LUTQUINCHR20	17998022	18017512	+	2827.7	1570
3601at7898	Complete	LUTQUINCHR10	17862800	17933036	-	2878.9	1484	https://www.orthodb.org/v10?query=3601at7898	kinesin-like protein KIF1B isoform X1
3636at7898	Complete	LUTQUINCHR3	27868157	27891076	+	3038.9	1600	https://www.orthodb.org/v10?query=3636at7898	proteasome-associated protein ECM29 homolog
3668at7898	Complete	LUTQUINCHR12	6313857	6326191	+	1685.5	1419	https://www.orthodb.org/v10?query=3668at7898	treslin isoform X1
3678at7898	Complete	LUTQUINCHR14	4711786	4721639	-	1183.6	1476	https://www.orthodb.org/v10?query=3678at7898	CASP8-associated protein 2
3802at7898	Complete	LUTQUINCHR6	41025208	41040059	-	1660.6	1163	https://www.orthodb.org/v10?query=3802at7898	cilia- and flagella-associated protein 65
3849at7898	Complete	LUTQUINCHR18	25431177	25447482	+	2839.8	1504	https://www.orthodb.org/v10?query=3849at7898	nucleoporin NUP188 homolog
3878at7898	Complete	LUTQUINCHR9	29813515	29828495	-	1754.0	1226	https://www.orthodb.org/v10?query=3878at7898	cardiomyopathy-associated protein 5
3909at7898	Complete	LUTQUINCHR8	30467677	30495369	-	2633.2	1376	https://www.orthodb.org/v10?query=3909at7898	DNA-directed RNA polymerase I subunit RPA1
