# BUSCO version is: 5.4.3 
# The lineage dataset is: actinopterygii_odb10 (Creation date: 2020-08-05, number of genomes: 3640, number of BUSCOs: 26)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
64at7898	Complete	ptg000004l	30892642	30998305	-	8822.3	4889	https://www.orthodb.org/v10?query=64at7898	hemicentin-1
116at7898	Complete	ptg000009l	11624071	11737616	-	5174.7	3625
131at7898	Complete	ptg000033l	28035248	28084621	+	8518.0	4328	https://www.orthodb.org/v10?query=131at7898	E3 ubiquitin-protein ligase UBR4 isoform X1
171at7898	Complete	ptg000017l	23160882	23192048	+	8797.2	4148
180at7898	Complete	ptg000031l	19674447	19918867	+	7207.8	4517	https://www.orthodb.org/v10?query=180at7898	usherin
301at7898	Complete	ptg000018l	448671	470280	+	8304.6	4034	https://www.orthodb.org/v10?query=301at7898	sacsin isoform X1
394at7898	Complete	ptg000005l	37424215	37819344	+	5889.7	3299	https://www.orthodb.org/v10?query=394at7898	vacuolar protein sorting-associated protein 13B-like
408at7898	Complete	ptg000020l	11634780	11730781	-	7181.0	3508	https://www.orthodb.org/v10?query=408at7898	transformation/transcription domain-associated protein
423at7898	Complete	ptg000018l	7025516	7192061	+	6868.5	3744	https://www.orthodb.org/v10?query=423at7898	cytoplasmic dynein 2 heavy chain 1
433at7898	Complete	ptg000033l	29435862	29574573	-	4791.1	2348	https://www.orthodb.org/v10?query=433at7898	cadherin EGF LAG seven-pass G-type receptor 3 isoform X1
594at7898	Complete	ptg000013l	8531454	8571758	-	4599.2	2774	https://www.orthodb.org/v10?query=594at7898	protocadherin-23
707at7898	Complete	ptg000009l	36468302	36508741	+	3832.3	2743	https://www.orthodb.org/v10?query=707at7898	obscurin-like isoform X1
715at7898	Complete	ptg000017l	5380257	5407903	-	5355.5	3589	https://www.orthodb.org/v10?query=715at7898	apolipoprotein B-100
716at7898	Complete	ptg000012l	19864292	20002426	+	4977.5	2462	https://www.orthodb.org/v10?query=716at7898	teneurin-4 isoform X1
832at7898	Complete	ptg000013l	30982794	31023453	-	4690.6	2614	https://www.orthodb.org/v10?query=832at7898	huntingtin isoform X1
892at7898	Complete	ptg000048l	6220970	6278571	-	5286.9	2612	https://www.orthodb.org/v10?query=892at7898	protein unc-80 homolog
1123at7898	Duplicated	ptg000015l	4307215	4391353	-	4166.9	2269	https://www.orthodb.org/v10?query=1123at7898	filamin-B
1123at7898	Duplicated	ptg000062l	340383	383637	+	3643.6	2345	https://www.orthodb.org/v10?query=1123at7898	filamin-B
1144at7898	Complete	ptg000033l	32516404	32615869	-	4690.3	2237	https://www.orthodb.org/v10?query=1144at7898	serine/threonine-protein kinase mTOR
1155at7898	Complete	ptg000004l	16502260	16555174	-	3161.5	2011	https://www.orthodb.org/v10?query=1155at7898	neurogenic locus notch homolog protein 2-like
1213at7898	Complete	ptg000017l	29257084	29277611	-	3873.5	2096
1220at7898	Complete	ptg000012l	17347351	17364668	+	1865.5	2057	https://www.orthodb.org/v10?query=1220at7898	breast cancer type 2 susceptibility protein
1258at7898	Complete	ptg000001l	23780046	23805718	-	3624.7	2110	https://www.orthodb.org/v10?query=1258at7898	neurogenic locus notch homolog protein 2-like
1262at7898	Complete	ptg000018l	10219165	10236520	-	5441.4	2286	https://www.orthodb.org/v10?query=1262at7898	pre-mRNA-processing-splicing factor 8
1312at7898	Complete	ptg000025l	26988707	27032443	-	3294.6	1922	https://www.orthodb.org/v10?query=1312at7898	Protein tyrosine phosphatase, non-receptor type 13
