# BUSCO version is: 5.4.3 
# The lineage dataset is: actinopterygii_odb10 (Creation date: 2020-08-05, number of genomes: 3640, number of BUSCOs: 26)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
64at7898	Complete	LUTQUINCHR7	11453525	11559639	+	8819.6	4889	https://www.orthodb.org/v10?query=64at7898	hemicentin-1
116at7898	Complete	LUTQUINCHR6	32656010	32769776	+	5174.7	3625
131at7898	Complete	LUTQUINCHR10	15312810	15362192	-	8509.3	4328	https://www.orthodb.org/v10?query=131at7898	E3 ubiquitin-protein ligase UBR4 isoform X1
171at7898	Complete	LUTQUINCHR15	24657308	24688651	+	8476.8	4011
180at7898	Complete	LUTQUINCHR1	30657515	30902175	-	7267.8	4517	https://www.orthodb.org/v10?query=180at7898	usherin
301at7898	Complete	LUTQUINCHR4	31945695	31967313	+	8303.3	4034	https://www.orthodb.org/v10?query=301at7898	sacsin isoform X1
394at7898	Complete	LUTQUINCHR5	37997686	38395508	+	5889.7	3299	https://www.orthodb.org/v10?query=394at7898	vacuolar protein sorting-associated protein 13B-like
408at7898	Complete	LUTQUINCHR20	11747518	11844406	-	7259.1	3495	https://www.orthodb.org/v10?query=408at7898	transformation/transcription domain-associated protein
423at7898	Complete	LUTQUINCHR4	38575467	38752565	+	6869.0	3744	https://www.orthodb.org/v10?query=423at7898	cytoplasmic dynein 2 heavy chain 1
433at7898	Complete	LUTQUINCHR10	13802720	13940954	+	4791.1	2348	https://www.orthodb.org/v10?query=433at7898	cadherin EGF LAG seven-pass G-type receptor 3 isoform X1
594at7898	Complete	LUTQUINCHR3	16540665	16581091	-	4186.9	2543	https://www.orthodb.org/v10?query=594at7898	protocadherin-23
707at7898	Complete	LUTQUINCHR6	7610846	7649216	-	3835.9	2731	https://www.orthodb.org/v10?query=707at7898	obscurin-like isoform X1
715at7898	Complete	LUTQUINCHR15	6756255	6783904	-	5357.3	3590	https://www.orthodb.org/v10?query=715at7898	apolipoprotein B-100
716at7898	Complete	LUTQUINCHR4	20078850	20216970	+	4977.5	2462	https://www.orthodb.org/v10?query=716at7898	teneurin-4 isoform X1
832at7898	Complete	LUTQUINCHR3	39186040	39226001	-	4691.8	2590	https://www.orthodb.org/v10?query=832at7898	huntingtin isoform X1
892at7898	Complete	LUTQUINCHR24	12604127	12661773	+	5286.9	2612	https://www.orthodb.org/v10?query=892at7898	protein unc-80 homolog
1123at7898	Complete	LUTQUINCHR2	41656640	41741453	+	4287.2	2266	https://www.orthodb.org/v10?query=1123at7898	filamin-B
1144at7898	Complete	LUTQUINCHR10	10745608	10845388	+	4690.3	2237	https://www.orthodb.org/v10?query=1144at7898	serine/threonine-protein kinase mTOR
